Contraction,Meaning
'aight,alright
'biz,business
'bout,about
'bove,above
'cause,because
'cept,except
'coz,because
'cuz,because
'droid,android
'em,them
'ere,here
'finity, infinity
'fluence, influence
'fore, before
'gainst, against
'gency, agency
'gression, aggression
'hood,neighborhood
'kay,okay
'lectric, electric
'less,unless
'leven,eleven
'member,remember
'mergency, emergency
'merica, America
'mong,among
'neath,beneath
'nite,night
'nother,another
'nough, enough
'nouncement, announcement
'novation, innovation
'nuff,enough
'nunciation, pronunciation
'paration, preparation
'partment, apartment
'pose, suppose
'preciate, appreciate
'preesh,appreciate
'puter, computer
'reckon,reckon
'round,around
's,is
'scuse,excuse
'sides,sides
'specially, especially
'spect,expect
'stablish, establish
'stead,instead
'sual, usual
'tachment, attachment
'telligence, intelligence
'tention, attention
'terference, interference
'terrupt, interrupt
'thinkin',thinking
'thout,without
'til,until
'tis,it is
'tisn't,it is not
'tother,the other
'twas,it was
'twasn't,it was not
'tween,between
'tweren't,it were not
'vance,advance
'vention, invention
'vidual, individual
'vite,invite
'volve, involve
'ward, reward
'way,away
'xample, example
'yond, beyond
'zactly,exactly
'zealous, zealous
ain't,are not
amn't,am not
aren't,are not
can't,cannot
could've,could have
couldn't've,could not have
couldn't,could not
d'ye,do you
daren't,dare not
daresn't,dare not
dasn't,dare not
didn't,did not
doesn't,does not
don't,do not
dunno,do not know
e'er,ever
everybody's,everybody is
everyone's,everyone is
finna,fixing
g'day,good day
gimme,give me
giv'n,given
gon't,go not
gonna,going to
gotta,got to
had've,had have
hadn't,had not
hasn't,has not
haven't,have not
he'd,he had
he'll,he will
he's,he is
he've,he have
how'd,how did
how'll,how will
how're,how are
how's,how is
howdy,how do you do
i'd	i,had
i'd've,i would have
i'll,i will
i'm,i am
i'm'a,i am about to
i'm'o,i am going to
i've,i have
innit,is it not
isn't,is not
it'd,it would
it'll,it will
it's,it is
iunno,i do not know
let's,let us
ma'am,madam
may've,may have
mayn't,may not
methinks,me thinks
might've,might have
mightn't,might not
must've,must have
mustn't've,must not have
mustn't,must not
ne'er,never
needn't,need not
o'clock,of the clock
o'er,over
ol',old
oughtn't,ought not
shalln't,shall not
shan't,shall not
she'd,she had
she'll,she shall
she's,she has
should've,should have
shouldn't've,should not have
shouldn't,should not
so're,so are
somebody's,somebody is
someone's,someone is
something's,something is
that'd,that would
that'll,that will
that're,that are
that's,that is
there'd,there would
there'll,there will
there're,there are
there's,there is
these're,these are
these've,these have
they'd,they would
they'll,they will
they're,they are
they've,they have
this's,this is
those're,those are
those've,those have
to've,to have
wanna,want to
wasn't,was not
we'd've,we would have
we'd,we would
we'll,we will
we're,we are
we've,we have
weren't,were not
what'd,what did
what'll,what will
what're,what are
what's,what is
what've,what have
when's,when is
where'd,where did
where'll,where will
where're,where are
where's,where is
where've,where have
which'd,which would
which'll,which will
which're,which are
which's,which is
which've,which have
who'd've,who would have
who'd,who would
who'll,who will
who're,who are
who's,who is
who've,who have
why'd,why did
why're,why are
why's,why is
willn't,will not 
won't,will not
wonnot,will not 
would've,would have
wouldn't've,would not have
wouldn't,would not
y'all'd've,you all would have 
y'all're,you all are 
y'all,you all 
you'd,you would
you'll,you will
you're,you are
you've,you have
